ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,Cluster
5942,Edukasi,Toko buku independen lainnya,Kado atau hadiah,Seni,edukasi,Tidak Setuju,Netral,Sangat Setuju,Netral,0
5943,Buku Non-Fiksi,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Alat Seni,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral,0
5944,Alat Seni,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,4
5945,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,3
5946,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Alat Seni,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
5947,Alat Seni,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,2
5948,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju,1
5949,Buku Anak,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,3
5950,Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,edukasi,Netral,Setuju,Setuju,Setuju,1
5951,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,3
5952,Buku Anak,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Setuju,Tidak Setuju,Setuju,Sangat Setuju,2
5953,Buku Non-Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Netral,4
5954,Komik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Sangat Setuju,Setuju,Setuju,Sangat Tidak Setuju,2
5955,Alat Kantor/Sekolah,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,0
5956,Komik,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,1
5957,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Netral,Sangat Setuju,Setuju,0
5958,Edukasi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Netral,0
5959,Alat Seni,Toko Gramedia,Kado atau hadiah,Lifestyle,edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju,4
5960,Buku Non-Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral,1
5961,Novel Fiksi,Toko alat tulis lainnya,Menambah pengetahuan,Literasi,Alat Seni,Netral,Netral,Setuju,Tidak Setuju,4
5962,Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Lifestyle,edukasi,Netral,Setuju,Tidak Setuju,Tidak Setuju,4
5963,Buku Non-Fiksi,Toko Gramedia,Menambah pengetahuan,Seni,edukasi,Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju,3
5964,Komik,Website Gramedia.com,Menambah pengetahuan,Lifestyle,Daily needs,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,2
5965,Alat Kantor/Sekolah,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral,2
5966,Alat Seni,Toko buku independen lainnya,Menambah pengetahuan,Literasi,Daily needs,Sangat Tidak Setuju,Sangat Setuju,Netral,Netral,1
5967,Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju,0
5968,Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Lifestyle,Daily needs,Setuju,Setuju,Sangat Setuju,Tidak Setuju,1
5969,Alat Kantor/Sekolah,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Sangat Setuju,Netral,Netral,0
5970,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Tidak Setuju,1
5971,Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
5972,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Literasi,edukasi,Setuju,Sangat Setuju,Setuju,Setuju,0
5973,Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
5974,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Sangat Setuju,4
5975,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,edukasi,Sangat Tidak Setuju,Tidak Setuju,Setuju,Setuju,4
5976,Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,1
5977,Buku Anak,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Netral,2
5978,Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,Self Wear,Sangat Setuju,Setuju,Netral,Tidak Setuju,1
5979,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju,1
5980,Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Literasi,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
5981,Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Setuju,Setuju,Setuju,Tidak Setuju,1
5982,Alat Seni,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral,2
5983,Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Self Wear,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
5984,Komik,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi,edukasi,Netral,Tidak Setuju,Setuju,Sangat Setuju,4
5985,Alat Seni,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
5986,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
5987,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,2
5988,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Setuju,Setuju,Tidak Setuju,Setuju,1
5989,Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Literasi,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
5990,Komik,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Self Wear,Tidak Setuju,Setuju,Sangat Tidak Setuju,Setuju,1
5991,Komik,Toko Gramedia,Kado atau hadiah,Literasi,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
5992,Sport & mainanan,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,0
5993,Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,0
5994,Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Tidak Setuju,Setuju,Tidak Setuju,Netral,0
5995,Alat Seni,Toko Gramedia,Kado atau hadiah,Seni,Self Wear,Setuju,Setuju,Sangat Setuju,Tidak Setuju,2
5996,Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Netral,Sangat Setuju,Netral,Netral,3
5997,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Tidak Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju,0
5998,Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni,Sangat Setuju,Netral,Setuju,Tidak Setuju,4
5999,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Self Wear,Setuju,Setuju,Netral,Setuju,1
6000,Alat Seni,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Netral,2
6001,Edukasi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,3
6002,Alat Seni,Website Gramedia.com,Menambah pengetahuan,Seni,Daily needs,Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju,0
6003,Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan,Literasi,Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,0
6004,Alat Seni,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Seni,Alat Seni,Tidak Setuju,Tidak Setuju,Netral,Sangat Setuju,0
6005,Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Netral,Netral,Sangat Tidak Setuju,Netral,1
6006,Sport & mainanan,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral,2
6007,Alat Seni,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Lifestyle,Alat Seni,Netral,Setuju,Tidak Setuju,Tidak Setuju,4
6008,Alat Seni,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Literasi,Daily needs,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,4
6009,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Tidak Setuju,Netral,Setuju,Tidak Setuju,0
6010,Edukasi,Aplikasi Gramedia.com,Kado atau hadiah,Seni,Alat Seni,Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,3
6011,Alat Kantor/Sekolah,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju,4
6012,Buku Non-Fiksi,Toko Gramedia,Menambah pengetahuan,Literasi,Self Wear,Netral,Tidak Setuju,Setuju,Sangat Setuju,2
6013,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,4
6014,Alat Seni,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni,Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,2
6015,Alat Seni,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Seni,Daily needs,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju,4
6016,Komik,Website Gramedia.com,Menambah pengetahuan,Lifestyle,Daily needs,Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju,0
6017,Buku Anak,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju,0
6018,Alat Seni,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Sangat Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju,4
6019,Alat Seni,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Setuju,Setuju,Setuju,Setuju,1
6020,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju,3
6021,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Tidak Setuju,Netral,Netral,Tidak Setuju,4
6022,Edukasi,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Setuju,Sangat Setuju,2
6023,Buku Non-Fiksi,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
6024,Alat Seni,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni,Netral,Sangat Tidak Setuju,Sangat Setuju,Setuju,2
6025,Sport & mainanan,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,1
6026,Komik,Toko alat tulis lainnya,Kado atau hadiah,Lifestyle,Daily needs,Sangat Tidak Setuju,Netral,Sangat Setuju,Netral,4
6027,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Literasi,Self Wear,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
6028,Alat Seni,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Literasi,Alat Seni,Netral,Setuju,Sangat Setuju,Tidak Setuju,4
6029,Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Netral,2
6030,Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Netral,Tidak Setuju,Tidak Setuju,0
6031,Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Setuju,Netral,Tidak Setuju,Setuju,1
6032,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Netral,Netral,Setuju,Netral,2
6033,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Literasi,Daily needs,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
6034,Alat Kantor/Sekolah,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Setuju,Tidak Setuju,0
6035,Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju,0
6036,Edukasi,Aplikasi Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Netral,Setuju,Sangat Tidak Setuju,Setuju,0
6037,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,edukasi,Sangat Tidak Setuju,Setuju,Netral,Sangat Setuju,1
6038,Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Lifestyle,edukasi,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju,0
6039,Buku Non-Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Seni,Alat Seni,Setuju,Netral,Netral,Setuju,1
6040,Komik,Aplikasi Gramedia.com,Menambah pengetahuan,Literasi,Self Wear,Netral,Sangat Setuju,Sangat Tidak Setuju,Setuju,3
6041,Sport & mainanan,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Self Wear,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,0
6042,Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,0
6043,Alat Kantor/Sekolah,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional,edukasi,Sangat Setuju,Tidak Setuju,Setuju,Tidak Setuju,0
6044,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Lifestyle,edukasi,Tidak Setuju,Setuju,Sangat Setuju,Tidak Setuju,4
6045,Komik,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi,Tidak Setuju,Netral,Setuju,Sangat Setuju,0
6046,Alat Kantor/Sekolah,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Daily needs,Tidak Setuju,Sangat Setuju,Setuju,Netral,2
6047,Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Sangat Setuju,Setuju,Setuju,Setuju,1
6048,Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju,1
6049,Sport & mainanan,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju,0
6050,Buku Anak,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Setuju,Tidak Setuju,Netral,Tidak Setuju,1
6051,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Alat Seni,Tidak Setuju,Netral,Setuju,Netral,4
6052,Sport & mainanan,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Seni,Alat Seni,Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,1
6053,Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
6054,Alat Kantor/Sekolah,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,2
6055,Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Literasi,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
6056,Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan,Lifestyle,Daily needs,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
6057,Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,2
6058,Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
6059,Alat Seni,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju,3
6060,Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
6061,Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju,4
6062,Alat Seni,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju,0
6063,Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju,0
6064,Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Literasi,Alat Seni,Setuju,Tidak Setuju,Netral,Sangat Setuju,0
6065,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,3
6066,Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,Literasi,Daily needs,Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,2
6067,Buku Non-Fiksi,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Setuju,4
6068,Buku Non-Fiksi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Setuju,Setuju,Sangat Setuju,1
6069,Komik,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Setuju,Netral,Tidak Setuju,0
6070,Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
6071,Buku Non-Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju,0
6072,Komik,Toko buku independen lainnya,Hiburan atau relaksasi,Seni,Self Wear,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju,1
6073,Sport & mainanan,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,edukasi,Setuju,Netral,Netral,Tidak Setuju,4
6074,Sport & mainanan,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Tidak Setuju,Sangat Setuju,Netral,Sangat Setuju,1
6075,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Setuju,Setuju,Sangat Setuju,Sangat Setuju,0
6076,Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Setuju,Netral,Setuju,Tidak Setuju,0
6077,Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Tidak Setuju,Setuju,Setuju,0
6078,Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear,Setuju,Netral,Tidak Setuju,Netral,3
6079,Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear,Sangat Tidak Setuju,Setuju,Setuju,Tidak Setuju,1
6080,Komik,Website Gramedia.com,Hiburan atau relaksasi,Literasi,Daily needs,Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju,2
6081,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Sangat Setuju,Tidak Setuju,Setuju,Tidak Setuju,4
6082,Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Aktivitas Rekreasional,Self Wear,Netral,Tidak Setuju,Setuju,Tidak Setuju,2
6083,Komik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,0
6084,Buku Non-Fiksi,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Lifestyle,edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
6085,Alat Kantor/Sekolah,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,3
6086,Sport & mainanan,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Daily needs,Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju,1
