Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner);Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline;Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju,1
Alat Musik;Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline;Olahraga,Alat Olahraga;Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Netral,Sangat Tidak Setuju,Tidak Setuju,Netral,4
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah;Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian;Alat Olahraga;Mainan,Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju,0
Jurnal/Perencana (Planner);Mainan/Collectible item,Toko buku independen lainnya,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas","Membaca buku atau majalah;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju,2
Novel Fiksi,Website Gramedia.com,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar;Membaca buku atau majalah,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak);Mainan",Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,0
Jurnal/Perencana (Planner);Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah,Alat Musik & kesenian;Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Netral,Setuju,1
Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain musik;Olahraga,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Setuju,Setuju,1
Jurnal/Perencana (Planner);Mainan/Collectible item,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju,1
"Alat Olahraga;Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar;Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak);Kesehatan dan Kecantikan",Netral,Sangat Setuju,Setuju,Sangat Setuju,4
Alat Olahraga,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online);Menulis (diari, blog, atau lainnya);Olahraga",Kesehatan dan Kecantikan,Setuju,Netral,Setuju,Setuju,2
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Kado atau hadiah;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah;Travelling,"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,3
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner);Novel Fiksi",Aplikasi Gramedia.com,Kado atau hadiah;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah;Menghadiri acara budaya atau edukasi;Travelling,Mainan,Netral,Setuju,Tidak Setuju,Sangat Setuju,5
Buku Anak;Jurnal/Perencana (Planner);Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Membaca buku atau majalah;Travelling,"Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,4
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis;Perlengkapan Seni/Kreatif",Website Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik;Melukis atau menggambar;Olahraga,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Netral,Netral,3
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Belanja online/offline;Melukis atau menggambar;Olahraga,Alat Olahraga;Kesehatan dan Kecantikan;Mainan,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,1
Alat Musik;Jurnal/Perencana (Planner);Perlengkapan Seni/Kreatif,Website Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Alat Musik & kesenian;Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Alat Musik;Komik/Novel Grafis;Mainan/Collectible item,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya);Travelling","Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Setuju,Tidak Setuju,Netral,4
"Alat Musik;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Bermain game (offline/online);Travelling,Mainan,Setuju,Netral,Sangat Setuju,Setuju,1
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
"Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Komik/Novel Grafis",Toko Gramedia,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner);Novel Fiksi",Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar;Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Bermain musik;Olahraga,Alat Olahraga,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,3
Alat Musik;Buku Anak;Komik/Novel Grafis,Website Gramedia.com,Kado atau hadiah,Travelling,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,3
Jurnal/Perencana (Planner);Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Bermain musik,Kesehatan dan Kecantikan,Netral,Sangat Setuju,Sangat Setuju,Netral,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis;Novel Fiksi",Toko Gramedia,Menambah pengetahuan,Bermain musik;Melukis atau menggambar;Travelling,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online);Melukis atau menggambar;Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Komik/Novel Grafis",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar;Travelling,Alat Musik & kesenian,Sangat Tidak Setuju,Setuju,Netral,Sangat Setuju,3
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Belanja online/offline;Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Kesehatan dan Kecantikan",Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline;Menulis (diari, blog, atau lainnya);Travelling",Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
"Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi;Travelling,Alat Musik & kesenian,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Mainan/Collectible item;Perlengkapan Seni/Kreatif,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Novel Fiksi;Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,"Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,4
Alat Musik;Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,"Alat Tulis kantor atau sekolah;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Setuju,Setuju,Sangat Setuju,Setuju,2
Buku Anak;Komik/Novel Grafis,Toko Gramedia,Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Netral,Sangat Tidak Setuju,Netral,Setuju,3
Alat Olahraga;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,"Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,4
Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline;Menghadiri acara budaya atau edukasi;Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Sangat Tidak Setuju,Setuju,Netral,Setuju,3
Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item;Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Olahraga;Travelling,"Alat Musik & kesenian;Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,2
Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Kado atau hadiah;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Melukis atau menggambar;Travelling,"Alat Musik & kesenian;Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,3
Novel Fiksi;Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,1
Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline;Bermain musik;Membaca buku atau majalah,"Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)",Toko Gramedia,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Olahraga,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,3
Alat Olahraga;Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online);Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,"Alat Olahraga;Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,1
Alat Tulis Umum (Kantor/Sekolah);Mainan/Collectible item;Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Alat Olahraga,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,0
Alat Musik,Website Gramedia.com,Kado atau hadiah,Melukis atau menggambar;Olahraga,"Alat Musik & kesenian;Buku non-fiksi (pengembangan diri, sejarah, agama);Kesehatan dan Kecantikan",Netral,Setuju,Setuju,Setuju,4
Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Bermain game (offline/online),Mainan,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju,3
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi;Travelling,Alat Musik & kesenian;Alat Olahraga,Netral,Setuju,Netral,Tidak Setuju,2
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Olahraga,"Alat Olahraga;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Setuju,Sangat Tidak Setuju,4
Komik/Novel Grafis,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,5
"Alat Olahraga;Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar;Membaca buku atau majalah;Menghadiri acara budaya atau edukasi,Alat Olahraga;Mainan,Setuju,Setuju,Sangat Setuju,Netral,2
Alat Musik;Perlengkapan Seni/Kreatif,Toko Gramedia,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar;Olahraga,"Buku fiksi (novel, komik, buku anak);Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,3
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline;Menulis (diari, blog, atau lainnya);Travelling","Alat Musik & kesenian;Alat Tulis kantor atau sekolah;Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Setuju,Setuju,Setuju,1
Novel Fiksi;Perlengkapan Seni/Kreatif,Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain game (offline/online);Travelling,"Buku fiksi (novel, komik, buku anak)",Netral,Netral,Setuju,Sangat Tidak Setuju,1
Alat Tulis Umum (Kantor/Sekolah);Jurnal/Perencana (Planner),Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Belanja online/offline,"Alat Musik & kesenian;Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,4
Perlengkapan Kantor atau Sekolah,Toko Gramedia,Kado atau hadiah;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Bermain game (offline/online);Membaca buku atau majalah;Travelling,Alat Musik & kesenian,Sangat Tidak Setuju,Netral,Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Melukis atau menggambar;Membaca buku atau majalah,Alat Olahraga;Mainan,Netral,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,4
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi;Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Mainan,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju,3
"Alat Tulis Umum (Kantor/Sekolah);Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,"Belanja online/offline;Bermain musik;Menulis (diari, blog, atau lainnya)","Alat Olahraga;Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju,3
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik,Alat Musik & kesenian;Mainan,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,0
Alat Olahraga;Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline;Bermain musik,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku fiksi (novel, komik, buku anak)",Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,4
Jurnal/Perencana (Planner);Mainan/Collectible item,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Membaca buku atau majalah,Alat Olahraga;Mainan,Setuju,Netral,Sangat Setuju,Netral,2
Buku Anak;Novel Fiksi;Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik;Travelling,Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Alat Olahraga,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)",Alat Olahraga;Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
"Alat Olahraga;Alat Tulis Umum (Kantor/Sekolah);Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Untuk mengekspresikan kreativitas,Melukis atau menggambar;Membaca buku atau majalah;Olahraga,Alat Tulis kantor atau sekolah;Kesehatan dan Kecantikan,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,2
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus);Novel Fiksi",Toko alat tulis lainnya,Kado atau hadiah,Bermain game (offline/online);Bermain musik;Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Mainan",Netral,Netral,Setuju,Netral,1
Perlengkapan Kantor atau Sekolah;Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Hiburan atau relaksasi;Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Setuju,Setuju,1
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.);Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah;Olahraga;Travelling,"Alat Tulis kantor atau sekolah;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Tidak Setuju,Sangat Setuju,4
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik,Kesehatan dan Kecantikan,Sangat Setuju,Netral,Netral,Tidak Setuju,3
Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,Bermain musik,Alat Musik & kesenian,Setuju,Setuju,Netral,Setuju,1
Komik/Novel Grafis;Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah;Menambah pengetahuan,Bermain game (offline/online);Travelling,Alat Musik & kesenian,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,0
Alat Olahraga;Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya);Olahraga","Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Tidak Setuju,Netral,Sangat Setuju,Tidak Setuju,2
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Membaca buku atau majalah;Olahraga,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral,4
Buku Anak,Toko buku independen lainnya,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Mainan,Setuju,Tidak Setuju,Netral,Setuju,1
Komik/Novel Grafis,Toko alat tulis lainnya,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Olahraga,"Alat Musik & kesenian;Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju,1
Mainan/Collectible item;Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Bermain musik;Membaca buku atau majalah;Travelling,"Alat Olahraga;Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Netral,Sangat Setuju,Setuju,1
Alat Tulis Umum (Kantor/Sekolah);Komik/Novel Grafis,Toko buku independen lainnya,Kado atau hadiah,Bermain musik;Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus);Buku non-fiksi (pengembangan diri, sejarah, agama);Mainan",Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju,1
