Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi;Kado atau hadiah,Literasi,edukasi,Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju,5
Alat Seni;Buku Anak;Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Literasi,Daily needs;edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju,3
Novel Fiksi;Sport & mainanan,Website Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle;Literasi,edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Buku Non-Fiksi;Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi;Menambah pengetahuan,Aktivitas Rekreasional,Self Wear;edukasi,Setuju,Setuju,Tidak Setuju,Setuju,5
Buku Anak;Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju,5
Buku Non-Fiksi;Komik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Seni,Self Wear;edukasi,Netral,Sangat Setuju,Sangat Setuju,Setuju,4
Novel Fiksi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle;Literasi,Self Wear;edukasi,Tidak Setuju,Tidak Setuju,Netral,Netral,0
Edukasi;Novel Fiksi,Toko buku independen lainnya,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Seni,Alat Seni;Daily needs,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,4
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Daily needs;Self Wear,Netral,Sangat Setuju,Tidak Setuju,Sangat Setuju,4
Alat Kantor/Sekolah;Komik,Website Gramedia.com,Menambah pengetahuan,Lifestyle;Literasi,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral,4
Alat Kantor/Sekolah;Buku Anak;Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi;Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Lifestyle;Literasi,Daily needs;Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,5
Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan,Aktivitas Rekreasional;Lifestyle;Literasi,Daily needs;Self Wear,Netral,Sangat Setuju,Setuju,Setuju,5
Alat Kantor/Sekolah;Buku Non-Fiksi;Edukasi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Kado atau hadiah;Untuk mengekspresikan kreativitas,Lifestyle,Daily needs,Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju,0
Buku Non-Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Literasi,Alat Seni;Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
Alat Seni;Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni;Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Netral,5
Alat Kantor/Sekolah;Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,edukasi,Sangat Tidak Setuju,Setuju,Netral,Sangat Setuju,3
Edukasi;Novel Fiksi,Aplikasi Gramedia.com,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Lifestyle;Literasi,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Buku Non-Fiksi;Novel Fiksi;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional,Daily needs;Self Wear;edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,5
Buku Anak;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Alat Seni;edukasi,Sangat Setuju,Setuju,Tidak Setuju,Setuju,1
Alat Kantor/Sekolah;Buku Anak;Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Seni,Self Wear;edukasi,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju,3
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Lifestyle;Seni,Daily needs;edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,5
Komik;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi;Seni,edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,0
Alat Kantor/Sekolah;Novel Fiksi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,Alat Seni;edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Tidak Setuju,3
Alat Kantor/Sekolah;Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Aktivitas Rekreasional;Seni,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Netral,0
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju,1
Alat Seni;Buku Anak;Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Seni,Self Wear;edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,2
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle;Seni,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,4
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Self Wear;edukasi,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju,1
Alat Seni;Edukasi;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju,4
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi;Kado atau hadiah,Aktivitas Rekreasional;Seni,Self Wear,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,3
Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional;Lifestyle,edukasi,Setuju,Sangat Setuju,Netral,Tidak Setuju,4
Alat Seni;Edukasi,Toko Gramedia,"Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear;edukasi,Tidak Setuju,Setuju,Tidak Setuju,Setuju,1
Alat Kantor/Sekolah;Alat Seni,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Setuju,Setuju,Sangat Setuju,Setuju,2
Buku Anak;Edukasi,Aplikasi Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Lifestyle;Seni,Self Wear;edukasi,Tidak Setuju,Setuju,Tidak Setuju,Netral,4
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle;Literasi,Self Wear;edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju,1
Alat Seni,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Lifestyle,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle,Daily needs;Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Netral,4
Alat Seni;Edukasi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Self Wear;edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni;Self Wear,Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju,0
Alat Kantor/Sekolah;Sport & mainanan,Toko buku independen lainnya,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Netral,Setuju,Sangat Setuju,Sangat Tidak Setuju,2
Novel Fiksi,Website Gramedia.com,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi;Seni,Daily needs;Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,0
Alat Kantor/Sekolah;Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Alat Seni;Daily needs,Sangat Setuju,Netral,Netral,Setuju,1
Alat Kantor/Sekolah,Toko buku independen lainnya,Menambah pengetahuan;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,Alat Seni;edukasi,Sangat Tidak Setuju,Setuju,Setuju,Setuju,1
Alat Kantor/Sekolah;Sport & mainanan,Website Gramedia.com,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Lifestyle,Self Wear;edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju,1
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle;Seni,Self Wear;edukasi,Netral,Sangat Setuju,Setuju,Sangat Setuju,4
Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi,Self Wear,Setuju,Netral,Setuju,Setuju,2
Alat Seni;Buku Non-Fiksi,Toko Gramedia,"Kado atau hadiah;Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Literasi,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,3
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs;edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,2
Alat Kantor/Sekolah;Buku Non-Fiksi;Novel Fiksi,Aplikasi Gramedia.com,Kado atau hadiah;Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle;Literasi,Self Wear,Netral,Setuju,Tidak Setuju,Sangat Setuju,5
Alat Kantor/Sekolah;Buku Anak;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Lifestyle;Literasi,Alat Seni;Daily needs;edukasi,Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju,4
Alat Seni;Edukasi;Komik,Website Gramedia.com,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Self Wear;edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral,3
Alat Seni;Buku Non-Fiksi,Toko buku independen lainnya,"Hiburan atau relaksasi;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Lifestyle;Seni,Self Wear,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah;Alat Seni,Website Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Alat Seni;edukasi,Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Alat Seni;Komik;Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle;Literasi,Alat Seni;edukasi,Sangat Setuju,Setuju,Tidak Setuju,Netral,4
Alat Seni;Buku Non-Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Untuk mengekspresikan kreativitas",Aktivitas Rekreasional;Lifestyle,Self Wear,Setuju,Netral,Sangat Setuju,Setuju,1
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,2
Alat Kantor/Sekolah;Edukasi;Komik,Toko Gramedia,Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,2
Alat Kantor/Sekolah;Buku Non-Fiksi;Novel Fiksi,Toko buku independen lainnya,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Seni,Self Wear;edukasi,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,2
Buku Non-Fiksi;Edukasi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Seni,Self Wear,Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju,3
Alat Seni;Buku Anak;Komik,Website Gramedia.com,Kado atau hadiah,Lifestyle,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,3
Alat Kantor/Sekolah;Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Seni,Self Wear,Netral,Sangat Setuju,Sangat Setuju,Netral,4
Buku Non-Fiksi;Komik;Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Lifestyle;Seni,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Literasi;Seni,edukasi,Sangat Setuju,Sangat Setuju,Setuju,Setuju,1
Buku Non-Fiksi;Komik,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Alat Seni,Sangat Tidak Setuju,Setuju,Netral,Sangat Setuju,3
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Untuk mengekspresikan kreativitas",Lifestyle,Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju,1
Buku Non-Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Literasi,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,3
Alat Kantor/Sekolah;Buku Non-Fiksi,Aplikasi Gramedia.com,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Alat Seni,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju,5
Alat Seni;Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Alat Seni,Setuju,Setuju,Tidak Setuju,Tidak Setuju,2
Alat Kantor/Sekolah;Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Daily needs;Self Wear;edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,4
Alat Seni,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Daily needs;Self Wear;edukasi,Setuju,Setuju,Sangat Setuju,Setuju,2
Buku Anak;Komik,Toko Gramedia,Kado atau hadiah;Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas,Literasi,Alat Seni;Self Wear;edukasi,Netral,Sangat Tidak Setuju,Netral,Setuju,3
Alat Kantor/Sekolah;Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs;edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju,4
Alat Kantor/Sekolah;Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Lifestyle;Literasi,Self Wear,Sangat Tidak Setuju,Setuju,Netral,Setuju,3
Alat Kantor/Sekolah;Novel Fiksi;Sport & mainanan,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional;Lifestyle,Alat Seni;Self Wear;edukasi,Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju,2
Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle;Seni,Alat Seni;Self Wear;edukasi,Sangat Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju,3
Alat Seni;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,1
Alat Kantor/Sekolah;Sport & mainanan,Toko Gramedia,"Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle;Literasi;Seni,Self Wear;edukasi,Netral,Sangat Tidak Setuju,Setuju,Tidak Setuju,1
Alat Kantor/Sekolah;Buku Non-Fiksi,Toko Gramedia,"Hiburan atau relaksasi;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional;Literasi,Self Wear;edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah;Alat Seni;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi;Untuk mengekspresikan kreativitas,Literasi,Self Wear,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju,0
Alat Seni,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional;Seni,Alat Seni;Self Wear;edukasi,Netral,Setuju,Setuju,Setuju,4
Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju,3
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle,Alat Seni;Self Wear,Netral,Setuju,Netral,Tidak Setuju,2
Alat Kantor/Sekolah;Buku Non-Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan;Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear;edukasi,Netral,Sangat Setuju,Setuju,Sangat Tidak Setuju,4
Komik,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,5
Buku Non-Fiksi;Sport & mainanan,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Literasi;Seni,Self Wear,Setuju,Setuju,Sangat Setuju,Netral,2
Alat Seni,Toko Gramedia,Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional;Seni,Self Wear;edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Literasi,Alat Seni;Daily needs;edukasi,Tidak Setuju,Sangat Setuju,Setuju,Setuju,1
Alat Seni;Novel Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle,edukasi,Netral,Netral,Setuju,Sangat Tidak Setuju,1
Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Menambah pengetahuan",Lifestyle,Alat Seni;Self Wear;edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Setuju,4
Alat Kantor/Sekolah,Toko Gramedia,Kado atau hadiah;Menambah pengetahuan;Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Lifestyle;Literasi,Alat Seni,Sangat Tidak Setuju,Netral,Setuju,Setuju,1
Buku Non-Fiksi;Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Literasi;Seni,Self Wear,Netral,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,4
Alat Kantor/Sekolah;Edukasi;Novel Fiksi,Toko Gramedia,"Kado atau hadiah;Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju,3
Alat Kantor/Sekolah;Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Lifestyle;Literasi;Seni,Self Wear;edukasi,Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju,3
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor);Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Alat Seni;Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral,0
Alat Kantor/Sekolah;Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan;Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle;Seni,Alat Seni;edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,4
Alat Kantor/Sekolah;Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri;Untuk mengekspresikan kreativitas",Literasi,Self Wear,Setuju,Netral,Sangat Setuju,Netral,2
Alat Kantor/Sekolah;Buku Anak;Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan;Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle;Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,0
Sport & mainanan,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya);Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Daily needs;Self Wear,Sangat Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,0
Alat Kantor/Sekolah;Edukasi;Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional;Literasi;Seni,Daily needs;Self Wear,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,2
Edukasi;Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional;Seni,Self Wear;edukasi,Netral,Netral,Setuju,Netral,1
