Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan","Melukis atau menggambar , Bermain musik","Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik,Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Bermain game (offline/online), Bermain musik",Self Wear
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Melukis atau menggambar , Bermain musik",Self Wear
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Belanja online/offline",edukasi
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Membaca buku atau majalah , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)",Self Wear
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,"Alat Musik & kesenian, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kado atau hadiah, Hiburan atau relaksasi","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Belanja online/offline",Alat Seni
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Travelling, Belanja online/offline, Bermain musik","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar , Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan",Lifestyle,Self Wear
Alat Kantor/Sekolah,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Membaca buku atau majalah","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah",Aktivitas Rekreasional,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Buku Anak",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Belanja online/offline, Melukis atau menggambar","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Mainan/Collectible item, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Buku fiksi (novel, komik, buku anak), Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,"Kesehatan dan Kecantikan, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Melukis atau menggambar , Belanja online/offline","Mainan, Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Edukasi,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Aplikasi Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Olahraga, Melukis atau menggambar","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah",Aktivitas Rekreasional,edukasi
"Jurnal/Perencana (Planner), Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar",Self Wear
"Perlengkapan Kantor atau Sekolah, Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Bermain game (offline/online), Menulis (diari, blog, atau lainnya), Membaca buku atau majalah","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Belanja online/offline, Melukis atau menggambar",edukasi
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Menambah pengetahuan,"Olahraga, Melukis atau menggambar","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
Alat Seni,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Olahraga, Bermain game (offline/online), Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Melukis atau menggambar , Belanja online/offline","Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Belanja online/offline",Daily needs
"Buku Anak, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Seni,edukasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Menulis (diari, blog, atau lainnya), Melukis atau menggambar","Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Buku Non-Fiksi,Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Aktivitas Rekreasional,"Mainan, Alat Musik & kesenian, Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Belanja online/offline, Melukis atau menggambar",edukasi
Alat Kantor/Sekolah,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas",Seni,Alat Seni
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah","Travelling, Bermain musik, Menghadiri acara budaya atau edukasi",Alat Seni
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Menambah pengetahuan","Bermain musik, Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Olahraga, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Lifestyle,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Alat Olahraga"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Lifestyle,edukasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah",Self Wear
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Olahraga, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga, Bermain musik",Self Wear
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Membaca buku atau majalah , Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Olahraga"
"Komik/Novel Grafis, Alat Musik, Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Bermain game (offline/online)","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Menulis (diari, blog, atau lainnya)",Alat Seni
Alat Kantor/Sekolah,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Lifestyle,"Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Olahraga, Buku Anak, Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Belanja online/offline, Melukis atau menggambar","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Alat Tulis kantor atau sekolah"
Buku Anak,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Buku Anak, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Travelling","Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Edukasi,Website Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya), Melukis atau menggambar , Travelling","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Olahraga",edukasi
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,edukasi
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Mainan"
Alat Seni,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar , Bermain musik",Daily needs
"Alat Olahraga, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional,"Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
Edukasi,Toko Gramedia,"Kado atau hadiah, Menambah pengetahuan",Aktivitas Rekreasional,edukasi
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Belanja online/offline, Travelling","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Bermain musik, Membaca buku atau majalah","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah, Kesehatan dan Kecantikan"
"Alat Musik, Buku Anak",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Belanja online/offline","Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan, Mainan"
Alat Kantor/Sekolah,Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Mainan"
Alat Seni,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Menambah pengetahuan","Melukis atau menggambar , Belanja online/offline","Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Membaca buku atau majalah , Belanja online/offline",edukasi
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan","Belanja online/offline, Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Mainan/Collectible item, Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline, Bermain game (offline/online)",Self Wear
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan","Bermain game (offline/online), Belanja online/offline",edukasi
"Novel Fiksi, Alat Olahraga, Komik/Novel Grafis",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online)",Self Wear
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Bermain game (offline/online), Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Buku Anak, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Melukis atau menggambar , Belanja online/offline","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah,"Melukis atau menggambar , Olahraga",Self Wear
"Alat Olahraga, Alat Musik",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Literasi,"Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan"
Edukasi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi","Alat Olahraga, Mainan"
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah , Melukis atau menggambar","Alat Musik & kesenian, Alat Olahraga"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Kado atau hadiah,"Travelling, Menulis (diari, blog, atau lainnya)",edukasi
Alat Seni,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Bermain musik, Melukis atau menggambar , Menghadiri acara budaya atau edukasi",edukasi
"Novel Fiksi, Alat Musik, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Seni,edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Travelling, Olahraga","Alat Musik & kesenian, Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Mainan/Collectible item, Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
Alat Seni,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Olahraga, Melukis atau menggambar , Membaca buku atau majalah","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Mainan"
Alat Seni,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Lifestyle,"Mainan, Alat Musik & kesenian"
Alat Kantor/Sekolah,Toko alat tulis lainnya,Hiburan atau relaksasi,"Olahraga, Belanja online/offline","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Website Gramedia.com,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar",Self Wear
Alat Seni,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Seni,"Alat Tulis kantor atau sekolah, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik,Toko Gramedia,Hiburan atau relaksasi,Lifestyle,"Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan",Seni,"Mainan, Alat Olahraga, Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Buku Anak",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Menulis (diari, blog, atau lainnya), Bermain musik","Alat Musik & kesenian, Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Travelling","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Buku Non-Fiksi,Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,"Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Bermain game (offline/online)",Alat Seni
