Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Buku Non-Fiksi; Komik; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi; Seni,Self Wear,Sangat Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Setuju,Setuju,Netral,Sangat Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; edukasi,Sangat Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Seni,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear,Netral,Netral,Netral,Sangat Setuju
Alat Seni; Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Self Wear,Netral,Tidak Setuju,Setuju,Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Daily needs; edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Komik,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi; Seni,Alat Seni; edukasi,Sangat Setuju,Sangat Tidak Setuju,Netral,Setuju
Komik; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Self Wear,Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni; edukasi,Setuju,Sangat Setuju,Netral,Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Daily needs; Self Wear,Netral,Netral,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Sport & mainanan,Toko alat tulis lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Tidak Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Literasi,Daily needs; Self Wear,Setuju,Tidak Setuju,Netral,Netral
Edukasi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Aktivitas Rekreasional; Literasi,edukasi,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju
Buku Anak; Komik; Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Alat Seni,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
Komik,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Self Wear,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Daily needs; edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle,Alat Seni; edukasi,Netral,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi; Komik,"Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Daily needs; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Literasi,Daily needs; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Setuju,Setuju
Alat Kantor/Sekolah,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Buku Non-Fiksi,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,edukasi,Netral,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Alat Seni; edukasi,Sangat Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Toko alat tulis lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Buku Anak; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; Daily needs; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni; edukasi,Setuju,Tidak Setuju,Setuju,Tidak Setuju
Edukasi; Sport & mainanan,Website Gramedia.com,Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Netral,Tidak Setuju,Sangat Setuju,Netral
Buku Anak; Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Self Wear; edukasi,Netral,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Komik,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; edukasi,Setuju,Netral,Tidak Setuju,Netral
Buku Anak; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Buku Anak,Aplikasi Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle,Alat Seni,Netral,Setuju,Netral,Sangat Tidak Setuju
Edukasi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Seni,Daily needs; edukasi,Sangat Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Alat Seni; Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Daily needs; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
Buku Anak; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,Alat Seni; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Seni,Daily needs; edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Non-Fiksi; Edukasi; Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
Komik,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Daily needs; Self Wear; edukasi,Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Setuju,Netral,Netral
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Tidak Setuju,Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah; Komik,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
Alat Seni; Edukasi; Sport & mainanan,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni,Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Komik,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle,Alat Seni,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Seni; Edukasi; Sport & mainanan,Aplikasi Gramedia.com,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,Daily needs; Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Netral
Buku Anak; Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear; edukasi,Tidak Setuju,Netral,Netral,Sangat Setuju
Buku Anak,Aplikasi Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Seni; Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Netral,Netral,Setuju
Buku Anak,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral
Alat Seni; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,Self Wear; edukasi,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,Daily needs; edukasi,Netral,Netral,Sangat Setuju,Sangat Setuju
Alat Seni; Novel Fiksi,Aplikasi Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle,edukasi,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Seni,Daily needs; Self Wear,Setuju,Netral,Tidak Setuju,Netral
Edukasi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Self Wear,Sangat Setuju,Netral,Setuju,Setuju
Buku Anak; Novel Fiksi,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional,Self Wear; edukasi,Netral,Setuju,Sangat Tidak Setuju,Sangat Setuju
Buku Anak; Komik; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Seni; Novel Fiksi,Toko alat tulis lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi; Seni,edukasi,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,edukasi,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Komik; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi; Seni,Alat Seni; Self Wear; edukasi,Setuju,Tidak Setuju,Setuju,Netral
Alat Kantor/Sekolah; Buku Anak; Buku Non-Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Daily needs,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
Komik,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs; edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni,Website Gramedia.com,Hiburan atau relaksasi,Aktivitas Rekreasional; Seni,Alat Seni,Sangat Tidak Setuju,Tidak Setuju,Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Self Wear; edukasi,Setuju,Sangat Setuju,Setuju,Tidak Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral
Buku Anak,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Novel Fiksi,Toko Gramedia,Kado atau hadiah,Lifestyle; Seni,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,edukasi,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Setuju,Sangat Setuju
Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Lifestyle; Seni,Alat Seni; Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Seni,Toko buku independen lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Seni,edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral
Alat Seni; Edukasi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,edukasi,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Buku Anak; Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi; Komik,Toko alat tulis lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Self Wear,Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,Self Wear; edukasi,Setuju,Netral,Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Novel Fiksi; Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi; Seni,Alat Seni; edukasi,Setuju,Netral,Netral,Setuju
Buku Non-Fiksi,Toko buku independen lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Alat Seni; Self Wear,Tidak Setuju,Netral,Sangat Setuju,Netral
Alat Seni; Sport & mainanan,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Alat Seni,Tidak Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Komik; Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan,Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Sangat Setuju
Alat Seni,Toko buku independen lainnya,Menambah pengetahuan,Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs; edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Komik,Toko buku independen lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Alat Seni; edukasi,Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Alat Seni; Komik,Toko buku independen lainnya,Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Buku Anak; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Setuju,Netral,Setuju,Setuju
Edukasi; Novel Fiksi; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,edukasi,Netral,Sangat Setuju,Tidak Setuju,Tidak Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Self Wear,Sangat Setuju,Setuju,Tidak Setuju,Tidak Setuju
Alat Seni; Sport & mainanan,Toko Gramedia,Hiburan atau relaksasi,Aktivitas Rekreasional; Literasi,edukasi,Netral,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Lifestyle,Self Wear; edukasi,Tidak Setuju,Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju
