ID,Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
4801,Alat Olahraga,Website Gramedia.com,Hiburan atau relaksasi,Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Tidak Setuju,Netral,Sangat Setuju
4802,Alat Tulis Umum (Kantor/Sekolah),Website Gramedia.com,Kado atau hadiah,Belanja online/offline,Alat Olahraga,Sangat Tidak Setuju,Setuju,Sangat Setuju,Setuju
4803,Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Alat Musik & kesenian,Setuju,Setuju,Tidak Setuju,Netral
4804,Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
4805,Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Tidak Setuju,Netral,Setuju
4806,Komik/Novel Grafis,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Olahraga,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4807,Novel Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi,Olahraga,Alat Tulis kantor atau sekolah,Sangat Setuju,Netral,Netral,Tidak Setuju
4808,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Melukis atau menggambar,Mainan,Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
4809,Alat Musik,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Olahraga,Tidak Setuju,Tidak Setuju,Setuju,Netral
4810,Alat Tulis Umum (Kantor/Sekolah),Toko buku independen lainnya,Menambah pengetahuan,Bermain musik,Mainan,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
4811,Alat Olahraga,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Belanja online/offline,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Netral,Sangat Setuju,Netral
4812,Alat Olahraga,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Tidak Setuju,Sangat Tidak Setuju,Setuju
4813,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
4814,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain game (offline/online),Kesehatan dan Kecantikan,Sangat Setuju,Sangat Tidak Setuju,Netral,Setuju
4815,Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Mainan,Tidak Setuju,Netral,Netral,Setuju
4816,Alat Musik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,Mainan,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
4817,Komik/Novel Grafis,Toko buku independen lainnya,Hiburan atau relaksasi,Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
4818,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Menambah pengetahuan,Bermain game (offline/online),Alat Olahraga,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju
4819,Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Mainan,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
4820,Alat Olahraga,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
4821,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Travelling,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju
4822,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Membaca buku atau majalah,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Tidak Setuju,Sangat Setuju,Setuju
4823,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Olahraga,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
4824,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Menambah pengetahuan,Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
4825,Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Alat Musik & kesenian,Setuju,Setuju,Setuju,Setuju
4826,Perlengkapan Kantor atau Sekolah,Website Gramedia.com,Untuk mengekspresikan kreativitas,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Netral,Sangat Setuju,Setuju
4827,Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
4828,Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
4829,Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Untuk mengekspresikan kreativitas,Melukis atau menggambar,Mainan,Sangat Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju
4830,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Travelling,Kesehatan dan Kecantikan,Tidak Setuju,Netral,Sangat Tidak Setuju,Setuju
4831,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
4832,Jurnal/Perencana (Planner),Aplikasi Gramedia.com,Hiburan atau relaksasi,Belanja online/offline,Alat Olahraga,Tidak Setuju,Netral,Tidak Setuju,Netral
4833,Alat Olahraga,Toko buku independen lainnya,Hiburan atau relaksasi,Olahraga,Mainan,Setuju,Tidak Setuju,Sangat Setuju,Netral
4834,Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Olahraga,Sangat Setuju,Sangat Tidak Setuju,Netral,Setuju
4835,Buku Anak,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Setuju,Setuju,Sangat Setuju,Netral
4836,Mainan/Collectible item,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Kesehatan dan Kecantikan,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju
4837,Buku Anak,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
4838,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik,Alat Tulis kantor atau sekolah,Tidak Setuju,Setuju,Netral,Tidak Setuju
4839,Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju
4840,Buku Anak,Toko alat tulis lainnya,Menambah pengetahuan,Belanja online/offline,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
4841,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Menambah pengetahuan,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4842,Komik/Novel Grafis,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Melukis atau menggambar,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
4843,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain game (offline/online),Kesehatan dan Kecantikan,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Netral
4844,Alat Olahraga,Toko alat tulis lainnya,Kado atau hadiah,Travelling,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Setuju,Netral,Netral
4845,Komik/Novel Grafis,Toko buku independen lainnya,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
4846,Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Travelling,Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
4847,Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
4848,Novel Fiksi,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
4849,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
4850,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,Kado atau hadiah,Travelling,Alat Musik & kesenian,Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
4851,Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
4852,Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Sangat Setuju,Setuju
4853,Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Hiburan atau relaksasi,Belanja online/offline,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
4854,Komik/Novel Grafis,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
4855,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling,Alat Musik & kesenian,Netral,Sangat Setuju,Sangat Setuju,Setuju
4856,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Belanja online/offline,Kesehatan dan Kecantikan,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
4857,Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),Kesehatan dan Kecantikan,Setuju,Setuju,Tidak Setuju,Netral
4858,Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Setuju,Sangat Tidak Setuju
4859,Buku Anak,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
4860,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,Mainan,Setuju,Netral,Sangat Setuju,Sangat Setuju
4861,Alat Olahraga,Toko Gramedia,Hiburan atau relaksasi,Bermain game (offline/online),Mainan,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
4862,Alat Musik,Toko Gramedia,Kado atau hadiah,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Setuju,Sangat Tidak Setuju,Netral,Setuju
4863,Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Setuju,Netral,Setuju
4864,Alat Olahraga,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline,Mainan,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
4865,Jurnal/Perencana (Planner),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,Alat Musik & kesenian,Netral,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
4866,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Travelling,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Setuju,Setuju,Netral
4867,Buku Anak,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Setuju,Setuju,Tidak Setuju,Netral
4868,Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Setuju,Sangat Tidak Setuju
4869,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Olahraga,Alat Olahraga,Sangat Setuju,Setuju,Sangat Tidak Setuju,Netral
4870,Mainan/Collectible item,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Sangat Setuju,Setuju
4871,Komik/Novel Grafis,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah,Kesehatan dan Kecantikan,Tidak Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
4872,Buku Anak,Toko buku independen lainnya,Menambah pengetahuan,Bermain game (offline/online),Mainan,Setuju,Setuju,Tidak Setuju,Sangat Setuju
4873,Novel Fiksi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Netral,Netral,Netral,Sangat Setuju
4874,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Netral,Tidak Setuju,Setuju
4875,Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Melukis atau menggambar,Kesehatan dan Kecantikan,Sangat Tidak Setuju,Setuju,Sangat Setuju,Setuju
4876,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Hiburan atau relaksasi,Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Sangat Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
4877,Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,Alat Musik & kesenian,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
4878,Buku Anak,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Tidak Setuju,Setuju
4879,Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Kado atau hadiah,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
4880,Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
4881,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
4882,Mainan/Collectible item,Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik,Alat Tulis kantor atau sekolah,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju
4883,Alat Musik,Website Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
4884,Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
4885,Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Melukis atau menggambar,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Tidak Setuju,Setuju
4886,Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju
4887,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Olahraga,Alat Olahraga,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
4888,Buku Anak,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah,Netral,Sangat Setuju,Tidak Setuju,Netral
4889,Komik/Novel Grafis,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Netral,Sangat Setuju,Setuju
4890,"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4891,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Melukis atau menggambar,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Setuju,Netral,Sangat Tidak Setuju
4892,Novel Fiksi,Toko Gramedia,Menambah pengetahuan,Bermain musik,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
4893,Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Belanja online/offline,Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
4894,Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,Bermain game (offline/online),Kesehatan dan Kecantikan,Sangat Tidak Setuju,Netral,Setuju,Netral
4895,Komik/Novel Grafis,Toko Gramedia,Kado atau hadiah,Menghadiri acara budaya atau edukasi,Kesehatan dan Kecantikan,Tidak Setuju,Tidak Setuju,Netral,Netral
4896,Novel Fiksi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik,"Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju
4897,Jurnal/Perencana (Planner),"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Bermain game (offline/online),Mainan,Sangat Tidak Setuju,Tidak Setuju,Netral,Setuju
4898,Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,Mainan,Setuju,Setuju,Netral,Setuju
4899,Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya)",Alat Olahraga,Tidak Setuju,Setuju,Sangat Tidak Setuju,Netral
4900,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Bermain musik,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4901,Komik/Novel Grafis,Toko Gramedia,Menambah pengetahuan,Melukis atau menggambar,Alat Musik & kesenian,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
4902,Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Netral,Tidak Setuju,Sangat Setuju
4903,Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju
4904,Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Belanja online/offline,Alat Olahraga,Sangat Setuju,Netral,Tidak Setuju,Sangat Tidak Setuju
4905,Buku Anak,Website Gramedia.com,Kado atau hadiah,Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Sangat Setuju,Sangat Tidak Setuju
4906,Perlengkapan Seni/Kreatif,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Setuju,Sangat Setuju,Netral,Netral
4907,Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Menghadiri acara budaya atau edukasi,Alat Olahraga,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
4908,Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Alat Tulis kantor atau sekolah,Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
4909,Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah,Mainan,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4910,Buku Anak,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain musik,Alat Musik & kesenian,Sangat Tidak Setuju,Netral,Setuju,Sangat Setuju
4911,Perlengkapan Kantor atau Sekolah,Toko alat tulis lainnya,Menambah pengetahuan,"Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak)",Setuju,Setuju,Tidak Setuju,Netral
4912,"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online),Alat Olahraga,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
4913,Komik/Novel Grafis,Toko buku independen lainnya,Hiburan atau relaksasi,Membaca buku atau majalah,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Netral,Tidak Setuju,Sangat Tidak Setuju
4914,Alat Olahraga,Toko alat tulis lainnya,Hiburan atau relaksasi,Bermain game (offline/online),Alat Musik & kesenian,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
4915,Perlengkapan Seni/Kreatif,Website Gramedia.com,Untuk mengekspresikan kreativitas,Olahraga,Mainan,Sangat Tidak Setuju,Setuju,Tidak Setuju,Setuju
4916,Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah,Belanja online/offline,Alat Tulis kantor atau sekolah,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
4917,Mainan/Collectible item,Website Gramedia.com,Menambah pengetahuan,Bermain game (offline/online),Mainan,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
4918,Komik/Novel Grafis,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online),Alat Musik & kesenian,Setuju,Setuju,Tidak Setuju,Setuju
4919,Jurnal/Perencana (Planner),Website Gramedia.com,Kado atau hadiah,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
4920,Alat Musik,Toko Gramedia,Untuk mengekspresikan kreativitas,Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Setuju,Netral,Sangat Tidak Setuju
4921,Novel Fiksi,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain game (offline/online),Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju
