Produk sering beli,Saluran belanja,Motivasi utama pembelian
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Toko buku independen lainnya",Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Menambah pengetahuan"
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Anak, Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Novel Fiksi","Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)",Untuk mengekspresikan kreativitas
"Perlengkapan Kantor atau Sekolah, Buku Anak",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Toko buku independen lainnya, Website Gramedia.com","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Toko alat tulis lainnya",Kado atau hadiah
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Buku Anak,"Aplikasi Gramedia.com, Toko alat tulis lainnya","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Komik/Novel Grafis, Alat Musik, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Jurnal/Perencana (Planner)","Toko Gramedia, Website Gramedia.com, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Kantor atau Sekolah,"Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Buku Anak, Novel Fiksi","Aplikasi Gramedia.com, Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Menambah pengetahuan
"Buku Anak, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
Perlengkapan Kantor atau Sekolah,"Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi"
"Jurnal/Perencana (Planner), Komik/Novel Grafis, Alat Musik","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Perlengkapan Seni/Kreatif,"Toko Gramedia, Website Gramedia.com, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Olahraga, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Website Gramedia.com,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan
"Novel Fiksi, Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Website Gramedia.com, Aplikasi Gramedia.com, Toko buku independen lainnya","Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Alat Musik, Buku Anak","Toko Gramedia, Toko buku independen lainnya, Toko alat tulis lainnya",Untuk mengekspresikan kreativitas
Jurnal/Perencana (Planner),Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Menambah pengetahuan"
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Kado atau hadiah, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Buku Anak, Novel Fiksi","Aplikasi Gramedia.com, Website Gramedia.com","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,"Toko buku independen lainnya, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Novel Fiksi, Alat Olahraga, Komik/Novel Grafis",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Anak, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,"Toko alat tulis lainnya, Website Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Alat Olahraga, Alat Musik","Website Gramedia.com, Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Komik/Novel Grafis","Toko Gramedia, Toko buku independen lainnya, Toko alat tulis lainnya","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Perlengkapan Seni/Kreatif","Website Gramedia.com, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
Alat Musik,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Alat Musik, Alat Olahraga",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Alat Olahraga","Toko buku independen lainnya, Toko alat tulis lainnya, Aplikasi Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Alat Musik, Buku Anak","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Musik,"Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia.com, Toko buku independen lainnya","Hiburan atau relaksasi, Kado atau hadiah"
Perlengkapan Kantor atau Sekolah,"Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
"Alat Olahraga, Perlengkapan Seni/Kreatif","Toko Gramedia, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Musik,"Toko alat tulis lainnya, Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Aplikasi Gramedia.com",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Kantor atau Sekolah, Alat Musik","Toko buku independen lainnya, Toko Gramedia","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik, Buku Anak","Toko Gramedia, Aplikasi Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Olahraga","Toko buku independen lainnya, Aplikasi Gramedia.com","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Toko buku independen lainnya, Aplikasi Gramedia.com, Website Gramedia.com",Kado atau hadiah
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Aplikasi Gramedia.com","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Toko buku independen lainnya, Toko Gramedia","Menambah pengetahuan, Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
Mainan/Collectible item,"Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,Menambah pengetahuan
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Toko buku independen lainnya, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com",Kado atau hadiah
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia.com, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Hiburan atau relaksasi"
"Mainan/Collectible item, Buku Anak",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Toko Gramedia",Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item",Aplikasi Gramedia.com,Kado atau hadiah
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Olahraga, Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Mainan/Collectible item, Komik/Novel Grafis, Perlengkapan Seni/Kreatif","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Tulis Umum (Kantor/Sekolah),"Toko Gramedia, Toko buku independen lainnya",Hiburan atau relaksasi
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Toko Gramedia","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Komik/Novel Grafis,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Kado atau hadiah, Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif","Toko Gramedia, Website Gramedia.com","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Alat Musik",Website Gramedia.com,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Mainan/Collectible item, Perlengkapan Seni/Kreatif","Website Gramedia.com, Aplikasi Gramedia.com","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Perlengkapan Seni/Kreatif,"Website Gramedia.com, Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan"
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Website Gramedia.com",Untuk mengekspresikan kreativitas
"Alat Musik, Buku Anak, Mainan/Collectible item","Toko buku independen lainnya, Toko Gramedia",Hiburan atau relaksasi
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Website Gramedia.com, Toko alat tulis lainnya",Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Buku Anak","Toko alat tulis lainnya, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)",Untuk mengekspresikan kreativitas
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Kantor atau Sekolah,"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Toko alat tulis lainnya","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif","Toko Gramedia, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Website Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Mainan/Collectible item,"Website Gramedia.com, Toko Gramedia, Toko buku independen lainnya","Menambah pengetahuan, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif","Toko buku independen lainnya, Website Gramedia.com, Toko alat tulis lainnya","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia.com, Toko alat tulis lainnya, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya, Aplikasi Gramedia.com","Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Website Gramedia.com","Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com",Hiburan atau relaksasi
Alat Olahraga,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Toko Gramedia, Website Gramedia.com","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
Jurnal/Perencana (Planner),Toko Gramedia,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
Buku Anak,"Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
